gender,SeniorCitizen,Partner,Dependents,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,Churn,PhoneServiceStatus,Internet_AddOnCount,IsNewCustomer,AvgMonthlySpend,BillingRatio,RelativeSpend,TenureGroup,ContractPaymentCombo,CostDeviation
Female,No,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,29.85,No,No phone service,1,No,29.85,1.0,1.0,0–6m,Month-to-month_Electronic check,-26.54821521175454
Male,No,No,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,56.95,No,Single phone line,2,No,55.5735294117647,0.9758301916025408,1.0247684572638265,25–48m,One year_Mailed check,-10.352121807465608
Male,No,No,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.85,Yes,Single phone line,2,No,54.075,1.0041782729805013,0.9958391123439667,0–6m,Month-to-month_Mailed check,-2.5482152117545382
Male,No,No,No,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),42.3,No,No phone service,3,No,40.90555555555556,0.9670344102968218,1.034089365747657,25–48m,One year_Bank transfer (automatic),-25.002121807465613
Female,No,No,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.7,Yes,Single phone line,0,No,628.935,8.895827439886844,0.11241225245852117,0–6m,Month-to-month_Electronic check,-15.650935532233873
Female,No,No,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,Yes,Multiple phone lines,3,No,102.5625,1.0292272955343702,0.9716026812918952,7–12m,Month-to-month_Electronic check,13.29906446776613
Male,No,No,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.1,No,Multiple phone lines,2,No,88.60909090909091,0.9944903581267219,1.005540166204986,13–24m,Month-to-month_Credit card (automatic),2.749064467766118
Female,No,No,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,29.75,No,No phone service,1,No,30.189999999999998,1.0147899159663865,0.9854256376283538,7–12m,Month-to-month_Mailed check,-26.64821521175454
Female,No,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8,Yes,Multiple phone lines,4,No,108.78750000000001,1.0380486641221374,0.9633459726531081,25–48m,Month-to-month_Electronic check,18.44906446776612
Male,No,No,Yes,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),56.15,No,Single phone line,2,No,56.25725806451613,1.0019102059575447,0.9980934359724193,49m+,One year_Bank transfer (automatic),-11.152121807465612
Male,No,Yes,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,49.95,No,Single phone line,1,No,45.18846153846154,0.9046739046739047,1.105370669844242,13–24m,Month-to-month_Mailed check,-6.448215211754537
Male,No,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18.95,No,Single phone line,0,No,20.425,1.0778364116094987,0.9277845777233782,13–24m,Two year_Credit card (automatic),-3.496079192546585
Male,No,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),100.35,No,Multiple phone lines,3,No,97.95,0.9760837070254113,1.0245022970903521,49m+,One year_Credit card (automatic),3.2822309417040287
